id;registro_fecha;tipo_entrada;tipo_ingreso;tiempo_maximo
1;2019-07-21T02:43:17;INGRESO;Reserva;false
2;2019-07-21T00:00:25;INGRESO;Espacio_Libre;false
3;2019-07-21T03:51:02;INGRESO;Oficina;false
4;2019-07-21T05:34:15;SALIDA;Oficina;true
5;2019-07-21T18:43:03;SALIDA;Oficina;true
6;2019-07-21T00:58:11;SALIDA;Reserva;false
7;2019-07-21T06:41:50;SALIDA;Oficina;false
8;2019-07-21T00:21:55;SALIDA;Reserva;false
9;2019-07-20T20:20:46;SALIDA;Espacio_Libre;false
10;2019-07-21T06:16:05;INGRESO;Oficina;true
