id;titular_factura;tipo_persona;periodicidad_facturacion;maximo_monto
1;Pizza Fish next-generation;NATURAL;MENSUAL;88163
2;Accountability Burg SAS;JURIDICA;SEMANAL;112
3;Tennessee generate Adaptive;JURIDICA;BIMESTRAL;11584
4;expedite;NATURAL;MENSUAL;43224
5;copying benchmark Sausages;NATURAL;QUINCENAL;16637
6;bypass hard drive Hollow;NATURAL;SEMANAL;99014
7;Yemeni Rial Shoals deposit;NATURAL;QUINCENAL;37183
8;synthesizing Public-key;JURIDICA;QUINCENAL;94430
9;Practical GB;JURIDICA;TRIMESTRAL;77282
10;Profound Plastic XSS;JURIDICA;TRIMESTRAL;76009
